step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
84,41888,672,0.03090981786731819,1.0,1.0,,,,,,,,,
85,42408,680,0.020965352693280523,1.0,1.0,,,,,,,,,
86,42800,688,0.02509354481526102,0.875,0.9705882352941176,,,,,,,,,
87,43256,696,0.028411473563686333,1.0,1.0,,,,,,,,,
88,43712,704,0.028778778210486126,1.0,1.0,,,,,,,,,
89,44296,712,0.021282660188993704,1.0,1.0,0.03159432869455339,0.875,0.972972972972973,,,,,,
90,44752,720,0.02342516831906053,1.0,1.0,,,,,,,,,
91,45208,728,0.01915227570641565,1.0,1.0,,,,,,,,,
92,45728,736,0.022974516563219274,1.0,1.0,,,,,,,,,
93,46184,744,0.021332529936155052,1.0,1.0,,,,,,,,,
94,46704,752,0.022233644772949764,1.0,1.0,,,,,,,,,
95,47160,760,0.029233648575277722,1.0,1.0,,,,,,,,,
96,47552,768,0.030604937740826944,1.0,1.0,,,,,,,,,
97,48008,776,0.025860217757595224,1.0,1.0,0.023405316293223226,1.0,1.0,,,,,,
98,48464,784,0.025685003579933786,1.0,1.0,,,,,,,,,
99,48920,792,0.023125130566126275,1.0,1.0,,,,,,,,,
100,49504,800,0.022400889017363253,1.0,1.0,,,,,,,,,
101,50024,808,0.024957332086161372,1.0,1.0,,,,,,,,,
102,50608,816,0.0208576168131719,1.0,1.0,,,,,,,,,
103,51064,824,0.02600172749508662,1.0,1.0,,,,,,,,,
104,51584,832,0.02522966503129144,1.0,1.0,,,,,,,,,
105,52104,840,0.020796061899389172,1.0,1.0,0.020624417895560576,1.0,1.0,,,,,,
106,52496,848,0.028346010989727142,1.0,1.0,,,,,,,,,
107,53144,856,0.02175255245892486,1.0,1.0,,,,,,,,,
108,53600,864,0.018875549898082742,1.0,1.0,,,,,,,,,
109,54056,872,0.023212926242026737,1.0,1.0,,,,,,,,,
110,54640,880,0.02011544415590303,1.0,1.0,,,,,,,,,
111,55352,888,0.013846044438633309,1.0,1.0,,,,,,,,,
112,55808,896,0.023167103606094395,1.0,1.0,,,,,,,,,
113,56328,904,0.021536605249588347,1.0,1.0,0.021704002069143552,1.0,1.0,,,,,,
114,56720,912,0.03279989643361481,0.875,0.9714285714285714,,,,,,,,,
115,57240,920,0.020119841776967247,1.0,1.0,,,,,,,,,
116,57696,928,0.02227642798075177,1.0,1.0,,,,,,,,,
117,58216,936,0.0229329445743426,1.0,1.0,,,,,,,,,
118,58736,944,0.02349478679380004,1.0,1.0,,,,,,,,,
119,59192,952,0.02624281918658265,1.0,1.0,,,,,,,,,
120,59584,960,0.028416553061345304,1.0,1.0,,,,,,,,,
121,59976,968,0.02990124814327738,1.0,1.0,0.022051527237974974,1.0,1.0,,,,,,
122,60496,976,0.02214295100157362,1.0,1.0,,,,,,,,,
123,61016,984,0.023982801343404418,1.0,1.0,,,,,,,,,
124,61536,992,0.017757271895820995,1.0,1.0,,,,,,,,,
125,62056,1000,0.022839385664420873,1.0,1.0,,,,,,,,,
126,62576,1008,0.02333581530722129,1.0,1.0,,,,,,,,,
127,63032,1016,0.03146413899932833,1.0,1.0,,,,,,,,,
128,63552,1024,0.025230225397677393,1.0,1.0,,,,,,,,,
129,64008,1032,0.025114771009991887,1.0,1.0,0.024751870080720505,1.0,1.0,,,,,,
130,64528,1040,0.02020142527552114,1.0,1.0,,,,,,,,,
131,65112,1048,0.02359701030151719,1.0,1.0,,,,,,,,,
132,65568,1056,0.025701917914911748,0.875,0.9714285714285714,,,,,,,,,
133,66088,1064,0.023356449892079027,0.875,0.972972972972973,,,,,,,,,
134,66608,1072,0.020860086000499843,1.0,1.0,,,,,,,,,
135,67000,1080,0.024820151654354066,1.0,1.0,,,,,,,,,
136,67520,1088,0.025124983611963247,1.0,1.0,,,,,,,,,
137,68104,1096,0.02034698188105768,1.0,1.0,0.026516478436912728,1.0,1.0,,,,,,
138,68496,1104,0.021366190128952665,1.0,1.0,,,,,,,,,
139,69016,1112,0.02492501457471861,1.0,1.0,,,,,,,,,
140,69408,1120,0.021922424174269584,1.0,1.0,,,,,,,,,
141,69928,1128,0.020684158155573635,1.0,1.0,,,,,,,,,
142,70384,1136,0.028997329956761606,1.0,1.0,,,,,,,,,
143,70968,1144,0.02399979754905447,1.0,1.0,,,,,,,,,
144,71360,1152,0.027920230745155438,1.0,1.0,,,,,,,,,
145,71880,1160,0.02362260570689091,1.0,1.0,0.02372735475409218,1.0,1.0,,,,,,
146,72272,1168,0.025137199717745123,1.0,1.0,,,,,,,,,
147,72792,1176,0.02062538486996999,0.875,0.9705882352941176,,,,,,,,,
148,73312,1184,0.020005341959084266,1.0,1.0,,,,,,,,,
149,73768,1192,0.029635671514883864,1.0,1.0,,,,,,,,,
150,74352,1200,0.020839132067707527,1.0,1.0,,,,,,,,,
151,74936,1208,0.018606659766258513,1.0,1.0,,,,,,,,,
152,75520,1216,0.0219049951435773,1.0,1.0,,,,,,,,,
153,75976,1224,0.024033599766264315,1.0,1.0,0.027441994835311918,1.0,1.0,,,,,,
154,76560,1232,0.02270053194005569,1.0,1.0,,,,,,,,,
155,76952,1240,0.025582978039188315,1.0,1.0,,,,,,,,,
156,77472,1248,0.02478340025103879,1.0,1.0,,,,,,,,,
157,78056,1256,0.020473962161111952,1.0,1.0,,,,,,,,,
158,78512,1264,0.024278364274045564,1.0,1.0,,,,,,,,,
159,79096,1272,0.02104704538765177,1.0,1.0,,,,,,,,,
160,79552,1280,0.03050831532429597,1.0,1.0,,,,,,,,,
161,80008,1288,0.02290111675809726,1.0,1.0,0.025753467214097676,1.0,1.0,,,,,,
162,80656,1296,0.02105275604056696,1.0,1.0,,,,,,,,,
163,81112,1304,0.06472309776822521,0.75,0.9473684210526315,,,,,,,,,
164,81504,1312,0.023038815984363952,1.0,1.0,,,,,,,,,
165,81960,1320,0.0278562065122454,0.875,0.9714285714285714,,,,,,,,,
166,82544,1328,0.020671668383127728,1.0,1.0,,,,,,,,,
167,83000,1336,0.043254495293745525,0.75,0.9459459459459459,,,,,,,,,
168,83456,1344,0.04420851468699637,0.75,0.9473684210526315,,,,,,,,,
169,83912,1352,0.031726481915171474,0.625,0.9166666666666666,0.024417661689837444,1.0,1.0,,,,,,
170,84432,1360,0.024440990621918506,1.0,1.0,,,,,,,,,
171,84888,1368,0.021388348176203248,0.875,0.9722222222222222,,,,,,,,,
172,85344,1376,0.024043305840849988,1.0,1.0,,,,,,,,,
173,85992,1384,0.0190281585125027,0.875,0.9722222222222222,,,,,,,,,
174,86448,1392,0.022300682387822384,1.0,1.0,,,,,,,,,
175,86968,1400,0.01799180752107913,1.0,1.0,,,,,,,,,
176,87424,1408,0.02301393258269938,1.0,1.0,,,,,,,,,
177,87816,1416,0.026501203255633914,1.0,1.0,0.02360652324521963,1.0,1.0,,,,,,
178,88272,1424,0.02493490792258451,1.0,1.0,,,,,,,,,
179,88856,1432,0.02240843807076365,1.0,1.0,,,,,,,,,
180,89312,1440,0.023235402578622198,1.0,1.0,,,,,,,,,
181,89768,1448,0.0246529835169502,1.0,1.0,,,,,,,,,
182,90288,1456,0.02358133910266943,1.0,1.0,,,,,,,,,
183,90808,1464,0.020577032008456852,1.0,1.0,,,,,,,,,
184,91264,1472,0.023340255453474318,1.0,1.0,,,,,,,,,
185,91976,1480,0.019626613870358627,1.0,1.0,0.02475078345720657,1.0,1.0,,,,,,
186,92368,1488,0.02067312768211213,1.0,1.0,,,,,,,,,
187,92760,1496,0.026031766588279836,1.0,1.0,,,,,,,,,
188,93152,1504,0.026060301648985745,1.0,1.0,,,,,,,,,
189,93608,1512,0.023158926651122787,1.0,1.0,,,,,,,,,
190,94064,1520,0.02302491064811201,1.0,1.0,,,,,,,,,
191,94584,1528,0.027075510517889232,1.0,1.0,,,,,,,,,
192,95040,1536,0.02703380226144034,1.0,1.0,,,,,,,,,
193,95624,1544,0.022164793253549017,1.0,1.0,0.021857759236599866,1.0,1.0,,,,,,
194,96080,1552,0.02411929118283179,1.0,1.0,,,,,,,,,
195,96536,1560,0.02447728998397187,1.0,1.0,,,,,,,,,
196,97056,1568,0.02219787943627685,1.0,1.0,,,,,,,,,
197,97576,1576,0.024555116279095013,1.0,1.0,,,,,,,,,
198,98032,1584,0.027011078025054324,1.0,1.0,,,,,,,,,
199,98424,1592,0.024700840977487874,1.0,1.0,,,,,,,,,
200,99008,1600,0.021559151525683277,1.0,1.0,,,,,,,,,
201,99464,1608,0.021591912786711753,1.0,1.0,0.02465540553995103,1.0,1.0,,,,,,
202,100048,1616,0.02264270081534521,0.875,0.9722222222222222,,,,,,,,,
203,100504,1624,0.028665203806517374,1.0,1.0,,,,,,,,,
204,100896,1632,0.023796548971008833,1.0,1.0,,,,,,,,,
205,101416,1640,0.019895987530577145,1.0,1.0,,,,,,,,,
206,101872,1648,0.020521380653943235,1.0,1.0,,,,,,,,,
207,102264,1656,0.024228673824175748,1.0,1.0,,,,,,,,,
208,102784,1664,0.02532267980348005,1.0,1.0,,,,,,,,,
209,103240,1672,0.02343953095206155,1.0,1.0,0.021717990080538742,1.0,1.0,,,,,,
210,103696,1680,0.023346693695813832,1.0,1.0,,,,,,,,,
211,104280,1688,0.021047978406454403,1.0,1.0,,,,,,,,,
212,104736,1696,0.027305408959943163,1.0,1.0,,,,,,,,,
213,105192,1704,0.023276521318510997,1.0,1.0,,,,,,,,,
214,105712,1712,0.021402566338967057,1.0,1.0,,,,,,,,,
215,106104,1720,0.028100954329055294,1.0,1.0,,,,,,,,,
216,106624,1728,0.022690902619349126,1.0,1.0,,,,,,,,,
217,107144,1736,0.01875139726733873,1.0,1.0,0.024232821352477125,1.0,1.0,,,,,,
218,107728,1744,0.024420862103529607,1.0,1.0,,,,,,,,,
219,108184,1752,0.024667055175264317,0.875,0.9722222222222222,,,,,,,,,
220,108704,1760,0.02163161925722528,1.0,1.0,,,,,,,,,
221,109224,1768,0.019199536094991518,1.0,1.0,,,,,,,,,
222,109744,1776,0.023478137549754505,1.0,1.0,,,,,,,,,
223,110264,1784,0.02267515494737131,1.0,1.0,,,,,,,,,
224,110656,1792,0.028680537539424362,1.0,1.0,,,,,,,,,
225,111240,1800,0.02082803660928318,1.0,1.0,0.022141367800680385,1.0,1.0,,,,,,
226,111760,1808,0.021667411827396076,0.875,0.918918918918919,,,,,,,,,
227,112344,1816,0.021776711108493923,1.0,1.0,,,,,,,,,
228,112864,1824,0.02404862912161054,1.0,1.0,,,,,,,,,
229,113448,1832,0.018824007164787326,1.0,1.0,,,,,,,,,
230,113904,1840,0.02761255602549257,1.0,1.0,,,,,,,,,
231,114424,1848,0.019918937113092554,1.0,1.0,,,,,,,,,
232,114816,1856,0.028662045001999047,1.0,1.0,,,,,,,,,
233,115272,1864,0.02104282526744747,1.0,1.0,0.021194685031784996,1.0,1.0,,,,,,
234,115792,1872,0.017974870330551035,1.0,1.0,,,,,,,,,
235,116248,1880,0.025860994316606524,0.875,0.9714285714285714,,,,,,,,,
236,116768,1888,0.021202792868943637,1.0,1.0,,,,,,,,,
237,117160,1896,0.025608154967522254,1.0,1.0,,,,,,,,,
238,117744,1904,0.01918202133629675,1.0,1.0,,,,,,,,,
239,118136,1912,0.026359189494573897,1.0,1.0,,,,,,,,,
240,118592,1920,0.021847044967591593,0.875,0.9736842105263158,,,,,,,,,
241,119112,1928,0.020280182501589118,1.0,1.0,0.020846828594076123,1.0,1.0,,,,,,
242,119504,1936,0.02325691022392296,1.0,1.0,,,,,,,,,
243,120024,1944,0.020549412438824726,1.0,1.0,,,,,,,,,
244,120416,1952,0.027041401567257917,1.0,1.0,,,,,,,,,
245,120872,1960,0.021502632227045054,1.0,1.0,,,,,,,,,
246,121392,1968,0.024931646246762442,1.0,1.0,,,,,,,,,
247,121848,1976,0.02616105596449376,1.0,1.0,,,,,,,,,
248,122304,1984,0.028651091737453137,0.875,0.9714285714285714,,,,,,,,,
249,122824,1992,0.024556299449479558,1.0,1.0,0.022795742335771495,1.0,1.0,,,,,,
250,123344,2000,0.02332305764411798,1.0,1.0,,,,,,,,,
251,123736,2008,0.02972728785502758,1.0,1.0,,,,,,,,,
252,124256,2016,0.02581902167434632,1.0,1.0,,,,,,,,,
253,124776,2024,0.02543726195649645,1.0,1.0,,,,,,,,,
254,125296,2032,0.02218848082850403,1.0,1.0,,,,,,,,,
255,125688,2040,0.020803730153742383,1.0,1.0,,,,,,,,,
